
**************************
入力ファイル名: the_constitution_of_the_usa.txt

*** 単語の出現頻度 ***
   1 hu
   3 hundred
   4 i
  24 if
   2 ii
   2 iii
   1 illegal
   4 immediately
   1 imminent
   2 immunities
   1 impairing
   1 impartial
   5 impeachment
   1 impeachments
   4 importation
   2 imports
   2 imposed
   4 imposts
 145 in
   3 inability
   1 included
   2 including
   1 incomes
   2 increased
   2 incurred
   1 independence
   1 indian
   2 indians
   2 indictment
   1 ineligible
   1 infamous
   4 inferior
   1 inflicted
   1 information
   1 informed
   1 infringed
   1 ingersoll
   4 inhabitant
   1 inhabitants
   4 inoperative
   1 inspection
   1 insure
   3 insurrection
   1 insurrections
   1 intents
   1 intervened
  10 into
   2 intoxicating
   1 invaded
   2 invasion
   1 invasions
   1 inventors
   1 involuntary
  13 is
   1 island
   4 issue
  21 it
  10 its
   2 iv
   1 ix
   1 j
   1 jaco
   3 james
   3 january
   1 jared
   1 jenifer
   1 jeopardy
   2 jersey
   3 john
   1 johnson
   1 jona
   4 journal
   1 jr
   2 judge
   3 judges
   3 judgment
   7 judicial
   1 jun
   1 junction
   9 jurisdiction
   5 jury
   1 just
   3 justice
   3 keep
   1 kind
   2 king
   3 labor
   3 laid
   4 land
   1 lands
   1 langdon
   1 large
   1 latter
  39 law
  13 laws
   4 lay
   6 least
   9 legislation
   1 legislative
  13 legislature
   8 legislatures
   2 letters
   1 levying
   1 liable
   3 liberty
   4 life
   3 like
   1 likewise
   1 limb
   1 limitations
   1 limited
   2 liquors
   5 list
   2 lists
   1 livingston
   1 longer
   1 lord
   1 loss
   9 made
   1 madison
   1 magazines
   1 maintain
  14 majority
  14 make
   3 male
  11 manner
   1 manufacture
   1 march
   1 maritime
   2 marque
   2 maryland
   2 massachusetts
  44 may
   1 mchenry
   2 measures
   3 meet
   4 meeting
   6 member
  10 members
   2 mentioned
   1 mifflin
   1 migration
   1 miles
   1 military
   6 militia
   4 ministers
   1 misdemeanors
   1 mode
   1 monday
   6 money
  10 more
   2 morris
   2 most
   1 my
   1 name
   2 names
   1 nathaniel
   2 nations
   1 natural
   1 naturalization
   1 naturalized
   1 nature
   2 naval
   2 navy
   2 nays
   9 necessary
   2 needful
   6 neither
   1 net
   1 nevertheless
   8 new
   3 next
   1 nicholas
   2 nine
   1 ninth
  42 no
   2 nobility
   2 nominate
   3 noon
  17 nor
   2 north
  44 not
   1 nothing
   1 notwithstanding
   1 now
  25 number
   4 numbers
   2 numerous
   5 oath
   3 objections
   2 obligation
   1 obligations
   1 obliged
   1 obtaining
   1 occasions
   1 october
 495 of
   1 offense
   2 offenses
  37 office
   6 officer
  11 officers
   3 offices
   1 older
  39 on
   3 once
  29 one
   1 only
   3 open
   1 operative
   1 opinion
 160 or
   2 ordain
   2 order
   1 organizing
   1 original
   1 originate
   1 originated
  31 other
   1 others
   5 otherwise
   3 our
   1 ourselves
   1 out
   3 over
   1 overt
   1 own
   1 owner
   1 paid
   1 papers
   1 pardons
   3 part
   1 participation
   2 particular
   1 particularly
   2 parts
   5 party
   2 pass
   2 passed
   1 paterson
   4 pay
   2 payment
   3 peace
   1 peaceably
   1 penalties
   2 pennsylvania
   1 pensions
   9 people
   1 perfect
   1 perform
   2 period
  34 person
  15 persons
   1 petition
   1 pierce
   2 pinckney
   1 piracies
   5 place
   4 places
   1 plantations
   1 poll
   1 populous
   1 ports
   1 possession
   4 post
   1 posterity
  22 power
  13 powers
   1 preference
   1 prejudice
   1 prescribe
   4 prescribed
   2 presence
   5 present
   3 presented
   1 presentment
   1 preserve
   1 preserved
   1 preside
 120 president
   1 presidt
   1 press
   2 prevent
   1 previous
   2 previously
   1 primary
   1 prince
   3 principal
   2 prior
   1 private
   1 privilege
   1 privileged
   2 privileges
   5 pro
   1 probable
   1 proceed
   4 proceedings
   3 process
   1 produce
   3 profit
   1 progress
   4 prohibited
   1 prohibiting
   2 promote
   4 proper
   4 property
   2 proportion
   2 propose
   2 proposed
   1 proposing
   1 prosecuted
   1 prosecutions
   2 protect
   1 protection
   1 proved
  12 provide
   7 provided
   1 providence
   1 provisions
  12 public
   1 publish
   1 published
   2 punish
   4 punishment
   1 punishments
   1 purchased
   5 purpose
   3 purposes
   1 pursuance
   1 put
   1 qualification
   3 qualifications
   3 qualified
   1 qualify
   1 quartered
   2 question
   2 questioned
   4 quorum
   1 race
   1 raise
   1 raising
   4 ratification
   6 ratified
   1 ratifying
   1 read
   1 reason
   5 rebellion
   1 receipt
   1 receipts
   5 receive
   2 recess
   1 recommend
   1 reconsider
   1 reconsideration
   1 reconsidered
   2 records
   1 redress
   1 reduced
   1 reexamined
   1 regard
   1 regular
   2 regulate
   1 regulated
   3 regulation
   3 regulations
   1 relating
   1 religion
   1 religious
   1 remain
   1 remainder
   4 removal
   1 remove
   3 removed
   1 repassed
   1 repealed
   1 repel
   5 representation
   6 representative
  29 representatives
   1 reprieves
   2 reprisal
   1 republican
   3 require
   3 required
   2 requisite
   1 reserved
   1 reserving
   1 reside
   1 resident
   4 resignation
   1 resolution
   1 respect
   2 respecting
   7 respective
   3 respectively
   2 resume
   1 retained
   2 return
   1 returned
   1 returning
   1 returns
   2 revenue
   1 revision
   1 rhode
   1 richard
   1 richd
  14 right
   1 rights
   1 roads
   1 robt
   1 roger
   1 rufus
   1 rule
   6 rules
   1 rutledge
   1 s
   1 safety
   3 said
   1 sale
  16 same
   1 saml
   1 science
   2 sealed
   1 searched
   1 searches
   1 seas
   4 seat
   1 seats
   4 second
   1 secrecy
  55 section
   1 sections
   2 secure
   1 securing
   1 securities
   1 security
   1 seized
   1 seizures
   1 selected
  28 senate
   8 senator
  13 senators
   1 sent
   1 september
   7 service
   5 services
   2 servitude
   5 session
   7 seven
   1 seventeenth
  16 several
   1 sex
 306 shall
   1 sherman
   1 ships
   1 should
   3 sign
   1 signed
   1 signers
   1 silver
   2 sitting
   4 six
   1 sixth
   1 slave
   1 slavery
   1 smaller
   4 so
   1 soldier
   2 sole
   1 solemnly
   1 some
   1 source
   2 south
   1 spaight
   5 speaker
   2 speech
   1 speedy
   1 square
   1 st
   1 standard
  79 state
   2 stated
   1 statement
 130 states
   8 subject
   2 subjects
   4 submission
   1 subscribed
   1 subsequent
   1 successors
  52 such
   1 sufficient
   1 suffrage
   1 suit
   1 suits
   1 sundays
   3 support
   1 supported
   1 suppress
   1 suppressing
   7 supreme
   1 suspended
   1 swear
   6 take
   5 taken
   5 tax
   2 taxed
   3 taxes
   2 temporary
   5 tempore
   5 ten
   1 tender
  11 term
   4 terms
   3 territory
   1 test
   1 testimony
  10 than
  24 that
 727 the
  28 their
  15 them
   2 themselves
  12 then
   3 there
   1 thereafter
   1 thereby
   3 therein
  22 thereof
   1 thereupon
  20 they
   1 things
   3 think
   2 third
  13 thirds
   3 thirty
  36 this
   1 thomas
   2 thos
   6 those
   4 thousand
  11 three
   3 throughout
  21 time
   4 times
   3 title
 202 to
   2 together
   1 tonnage
   1 training
   1 tranquility
   4 transmit
   3 transmits
   2 transportation
   7 treason
   3 treasury
   3 treaties
   1 treaty
   6 trial
   1 tribes
   1 tribunals
   2 tried
   1 troops
   4 trust
   1 try
   2 twelfth
   6 twenty
   2 twice
  24 two
   4 unable
   1 unanimous
  17 under
   3 uniform
   6 union
  86 united
  14 unless
   1 unreasonable
   8 until
   1 unusual
   3 up
   6 upon
   4 use
   1 useful
   2 v
   8 vacancies
   1 vacancy
   1 vacated
   3 valid
   1 validity
   2 value
   1 varying
   1 vessels
   1 vest
   4 vested
   2 vi
